Run,Pod Create (ns),Container Create (ns),Container Status CreatedAt (ns)
1,143748777,34712145,2025-07-07T22:50:33.670408207Z
2,79896394,33876700,2025-07-07T22:50:33.921407674Z
3,147735227,116063644,2025-07-07T22:50:34.477675575Z
4,133449097,36759851,2025-07-07T22:50:34.957522024Z
5,121834285,43165403,2025-07-07T22:50:35.428297454Z
6,124534362,34801168,2025-07-07T22:50:35.885775752Z
7,83640048,34833448,2025-07-07T22:50:36.282432249Z
8,131395752,34039474,2025-07-07T22:50:36.757553595Z
9,80292160,33891511,2025-07-07T22:50:37.145209356Z
10,133154832,34151185,2025-07-07T22:50:37.591446058Z
11,129744573,34327558,2025-07-07T22:50:38.020156455Z
12,136536592,37853190,2025-07-07T22:50:38.46429108Z
13,150215420,34633914,2025-07-07T22:50:38.97227591Z
14,149496027,35171313,2025-07-07T22:50:39.491834031Z
15,132035892,34089625,2025-07-07T22:50:39.960134318Z
16,125716052,33201999,2025-07-07T22:50:40.458429618Z
17,128418130,34307658,2025-07-07T22:50:40.937745928Z
18,133301045,34552883,2025-07-07T22:50:41.359261669Z
19,103865671,34125515,2025-07-07T22:50:41.811464016Z
20,107450524,34378480,2025-07-07T22:50:42.272456906Z
21,128797417,34697285,2025-07-07T22:50:42.747234856Z
22,126442425,36960665,2025-07-07T22:50:43.220859726Z
23,124044613,34013433,2025-07-07T22:50:43.630085833Z
24,131941031,34564513,2025-07-07T22:50:44.041470758Z
25,140592261,33991114,2025-07-07T22:50:44.497891378Z
26,129236544,35040071,2025-07-07T22:50:45.003579568Z
27,135356861,34099295,2025-07-07T22:50:45.445668968Z
28,126526516,34597573,2025-07-07T22:50:45.924257345Z
29,138966933,34147355,2025-07-07T22:50:46.395950032Z
30,149480428,34493792,2025-07-07T22:50:46.875781301Z
31,84427763,33727968,2025-07-07T22:50:47.265882784Z
32,129326666,34296948,2025-07-07T22:50:47.713553092Z
33,114581908,34638015,2025-07-07T22:50:48.14058988Z
34,130497525,35245395,2025-07-07T22:50:48.59523911Z
35,131514054,33902051,2025-07-07T22:50:49.023085902Z
36,82643431,34270608,2025-07-07T22:50:49.407910494Z
37,124394530,34544732,2025-07-07T22:50:49.849701139Z
38,115220589,34362950,2025-07-07T22:50:50.260775929Z
39,125124872,34233627,2025-07-07T22:50:50.702038485Z
40,133014441,34733616,2025-07-07T22:50:51.153152073Z
41,159037954,34989670,2025-07-07T22:50:51.636917991Z
42,147527093,34048374,2025-07-07T22:50:52.031491963Z
43,138093128,34250677,2025-07-07T22:50:52.498500528Z
44,130135400,34505332,2025-07-07T22:50:52.951175974Z
45,128658694,34942650,2025-07-07T22:50:53.427053294Z
46,131307471,34353270,2025-07-07T22:50:53.872233488Z
47,135543915,34832908,2025-07-07T22:50:54.322105645Z
48,132324318,34095235,2025-07-07T22:50:54.809519206Z
49,122979465,34475962,2025-07-07T22:50:55.260895239Z
50,136904718,33694237,2025-07-07T22:50:55.709537645Z
51,120935870,34248117,2025-07-07T22:50:56.133670562Z
52,136703264,34152156,2025-07-07T22:50:56.590067813Z
53,111888382,36638239,2025-07-07T22:50:57.007806759Z
54,125713483,34268497,2025-07-07T22:50:57.487116129Z
55,133064071,34928280,2025-07-07T22:50:57.991000268Z
56,118741281,34245778,2025-07-07T22:50:58.452320015Z
57,153432976,34732896,2025-07-07T22:50:58.935712366Z
58,122754812,35194734,2025-07-07T22:50:59.397737175Z
59,153018519,34651174,2025-07-07T22:50:59.850518913Z
60,141627320,34637984,2025-07-07T22:51:00.323854029Z
61,124007283,34485591,2025-07-07T22:51:00.809791175Z
62,135839230,34694996,2025-07-07T22:51:01.261658016Z
63,125437958,34351819,2025-07-07T22:51:01.711110586Z
