Run,Pod Create (ns),Container Create (ns),Container Status CreatedAt (ns)
1,151604869,124707040,2025-07-07T22:46:44.28848876Z
2,157483381,118037434,2025-07-07T22:46:45.040957985Z
3,155925134,130765076,2025-07-07T22:46:45.816665085Z
4,158602780,136883252,2025-07-07T22:46:46.443908611Z
5,145645205,126477071,2025-07-07T22:46:47.211327227Z
6,149445431,87590615,2025-07-07T22:46:47.878942606Z
7,103174156,128912523,2025-07-07T22:46:48.433536417Z
8,179274190,155964855,2025-07-07T22:46:49.173540567Z
9,144376552,148278911,2025-07-07T22:46:49.858316214Z
10,104664481,120040560,2025-07-07T22:46:50.409504518Z
11,166423556,131029710,2025-07-07T22:46:51.103195352Z
12,150835125,136462145,2025-07-07T22:46:51.776213185Z
13,139027640,142219145,2025-07-07T22:46:52.434289029Z
14,166659581,85613560,2025-07-07T22:46:53.062425571Z
15,135515188,85468857,2025-07-07T22:46:53.695733184Z
16,152746818,153144006,2025-07-07T22:46:54.383731618Z
17,174712301,118927950,2025-07-07T22:46:55.0922709Z
18,152586256,141654355,2025-07-07T22:46:55.796507948Z
19,163603268,88025782,2025-07-07T22:46:56.401109441Z
20,146730774,131521289,2025-07-07T22:46:57.182507681Z
21,121683088,126801837,2025-07-07T22:46:57.816923594Z
22,106126426,131432768,2025-07-07T22:46:58.386991616Z
23,160042096,138060583,2025-07-07T22:46:59.06743527Z
24,155813452,145707296,2025-07-07T22:46:59.762919755Z
25,160118237,85478718,2025-07-07T22:47:00.495238822Z
26,102713869,142936258,2025-07-07T22:47:01.132078837Z
27,144184350,118941010,2025-07-07T22:47:01.777072224Z
28,150254846,87052175,2025-07-07T22:47:02.397705127Z
29,151201382,141156787,2025-07-07T22:47:03.084543502Z
30,143264764,119377498,2025-07-07T22:47:03.749492477Z
31,157938279,133520485,2025-07-07T22:47:04.546272296Z
32,163518266,86896352,2025-07-07T22:47:05.179770654Z
33,166032690,125058197,2025-07-07T22:47:05.989320295Z
34,104201994,89066010,2025-07-07T22:47:06.507346713Z
35,158359426,132958824,2025-07-07T22:47:07.204234934Z
36,154245585,90803061,2025-07-07T22:47:07.862865219Z
37,103972010,142237646,2025-07-07T22:47:08.406328289Z
38,154005001,131996117,2025-07-07T22:47:09.064486067Z
39,149569243,88036012,2025-07-07T22:47:09.715199474Z
40,157267067,133029396,2025-07-07T22:47:10.379153082Z
41,160514494,88134214,2025-07-07T22:47:11.042558701Z
42,161018673,129422903,2025-07-07T22:47:11.815810632Z
43,101359524,134376000,2025-07-07T22:47:12.390415035Z
44,162686372,154308136,2025-07-07T22:47:13.110825376Z
45,150500660,135591191,2025-07-07T22:47:13.81532125Z
46,104792614,139154233,2025-07-07T22:47:14.395608812Z
47,161625404,86404754,2025-07-07T22:47:15.030763729Z
48,160897412,130196686,2025-07-07T22:47:15.725349591Z
49,155944215,136849853,2025-07-07T22:47:16.434285743Z
50,161374059,135143932,2025-07-07T22:47:17.130150447Z
51,152691828,86269662,2025-07-07T22:47:17.756875368Z
