pod                   , start_time          , ready_time          , latency_sec
benchmark-pod-crio-1  , 2025-06-13T19:15:15Z, 2025-06-13T19:15:15Z,           0
benchmark-pod-crio-2  , 2025-06-13T19:15:18Z, 2025-06-13T19:15:18Z,           0
benchmark-pod-crio-3  , 2025-06-13T19:15:21Z, 2025-06-13T19:15:21Z,           0
benchmark-pod-crio-4  , 2025-06-13T19:15:24Z, 2025-06-13T19:15:24Z,           0
benchmark-pod-crio-5  , 2025-06-13T19:15:27Z, 2025-06-13T19:15:27Z,           0
benchmark-pod-crio-6  , 2025-06-13T19:15:30Z, 2025-06-13T19:15:30Z,           0
benchmark-pod-crio-7  , 2025-06-13T19:15:33Z, 2025-06-13T19:15:33Z,           0
benchmark-pod-crio-8  , 2025-06-13T19:15:36Z, 2025-06-13T19:15:36Z,           0
benchmark-pod-crio-9  , 2025-06-13T19:15:39Z, 2025-06-13T19:15:39Z,           0
benchmark-pod-crio-10 , 2025-06-13T19:15:42Z, 2025-06-13T19:15:42Z,           0
benchmark-pod-crio-11 , 2025-06-13T19:15:45Z, 2025-06-13T19:15:45Z,           0
benchmark-pod-crio-12 , 2025-06-13T19:15:48Z, 2025-06-13T19:15:48Z,           0
benchmark-pod-crio-13 , 2025-06-13T19:15:51Z, 2025-06-13T19:15:51Z,           0
benchmark-pod-crio-14 , 2025-06-13T19:15:54Z, 2025-06-13T19:15:54Z,           0
benchmark-pod-crio-15 , 2025-06-13T19:15:57Z, 2025-06-13T19:15:57Z,           0
benchmark-pod-crio-16 , 2025-06-13T19:16:00Z, 2025-06-13T19:16:00Z,           0
benchmark-pod-crio-17 , 2025-06-13T19:16:03Z, 2025-06-13T19:16:03Z,           0
benchmark-pod-crio-18 , 2025-06-13T19:16:06Z, 2025-06-13T19:16:07Z,           1
benchmark-pod-crio-19 , 2025-06-13T19:16:09Z, 2025-06-13T19:16:10Z,           1
benchmark-pod-crio-20 , 2025-06-13T19:16:12Z, 2025-06-13T19:16:13Z,           1
benchmark-pod-crio-21 , 2025-06-13T19:16:15Z, 2025-06-13T19:16:16Z,           1
benchmark-pod-crio-22 , 2025-06-13T19:16:18Z, 2025-06-13T19:16:19Z,           1
benchmark-pod-crio-23 , 2025-06-13T19:16:21Z, 2025-06-13T19:16:22Z,           1
benchmark-pod-crio-24 , 2025-06-13T19:16:24Z, 2025-06-13T19:16:25Z,           1
benchmark-pod-crio-25 , 2025-06-13T19:16:27Z, 2025-06-13T19:16:28Z,           1
benchmark-pod-crio-26 , 2025-06-13T19:16:30Z, 2025-06-13T19:16:31Z,           1
benchmark-pod-crio-27 , 2025-06-13T19:16:33Z, 2025-06-13T19:16:34Z,           1
benchmark-pod-crio-28 , 2025-06-13T19:16:36Z, 2025-06-13T19:16:37Z,           1
benchmark-pod-crio-29 , 2025-06-13T19:16:39Z, 2025-06-13T19:16:40Z,           1
benchmark-pod-crio-30 , 2025-06-13T19:16:42Z, 2025-06-13T19:16:43Z,           1
benchmark-pod-crio-31 , 2025-06-13T19:16:45Z, 2025-06-13T19:16:46Z,           1
benchmark-pod-crio-32 , 2025-06-13T19:16:48Z, 2025-06-13T19:16:49Z,           1
benchmark-pod-crio-33 , 2025-06-13T19:16:51Z, 2025-06-13T19:16:52Z,           1
benchmark-pod-crio-34 , 2025-06-13T19:16:54Z, 2025-06-13T19:16:55Z,           1
benchmark-pod-crio-35 , 2025-06-13T19:16:57Z, 2025-06-13T19:16:58Z,           1
benchmark-pod-crio-36 , 2025-06-13T19:17:00Z, 2025-06-13T19:17:01Z,           1
benchmark-pod-crio-37 , 2025-06-13T19:17:03Z, 2025-06-13T19:17:04Z,           1
benchmark-pod-crio-38 , 2025-06-13T19:17:06Z, 2025-06-13T19:17:07Z,           1
benchmark-pod-crio-39 , 2025-06-13T19:17:09Z, 2025-06-13T19:17:10Z,           1
benchmark-pod-crio-40 , 2025-06-13T19:17:12Z, 2025-06-13T19:17:13Z,           1
benchmark-pod-crio-41 , 2025-06-13T19:17:15Z, 2025-06-13T19:17:16Z,           1
benchmark-pod-crio-42 , 2025-06-13T19:17:18Z, 2025-06-13T19:17:19Z,           1
benchmark-pod-crio-43 , 2025-06-13T19:17:21Z, 2025-06-13T19:17:22Z,           1
benchmark-pod-crio-44 , 2025-06-13T19:17:24Z, 2025-06-13T19:17:25Z,           1
benchmark-pod-crio-45 , 2025-06-13T19:17:27Z, 2025-06-13T19:17:28Z,           1
benchmark-pod-crio-46 , 2025-06-13T19:17:30Z, 2025-06-13T19:17:31Z,           1
benchmark-pod-crio-47 , 2025-06-13T19:17:33Z, 2025-06-13T19:17:34Z,           1
benchmark-pod-crio-48 , 2025-06-13T19:17:36Z, 2025-06-13T19:17:37Z,           1
benchmark-pod-crio-49 , 2025-06-13T19:17:39Z, 2025-06-13T19:17:40Z,           1
benchmark-pod-crio-50 , 2025-06-13T19:17:42Z, 2025-06-13T19:17:43Z,           1
benchmark-pod-crio-51 , 2025-06-13T19:17:45Z, 2025-06-13T19:17:46Z,           1
benchmark-pod-crio-52 , 2025-06-13T19:17:48Z, 2025-06-13T19:17:49Z,           1
benchmark-pod-crio-53 , 2025-06-13T19:17:51Z, 2025-06-13T19:17:52Z,           1
benchmark-pod-crio-54 , 2025-06-13T19:17:54Z, 2025-06-13T19:17:55Z,           1
benchmark-pod-crio-55 , 2025-06-13T19:17:57Z, 2025-06-13T19:17:58Z,           1
benchmark-pod-crio-56 , 2025-06-13T19:18:00Z, 2025-06-13T19:18:01Z,           1
benchmark-pod-crio-57 , 2025-06-13T19:18:03Z, 2025-06-13T19:18:04Z,           1
